url_length,hostname_length,num_dots,num_hyphens,num_subdomains,has_ip,has_at_symbol,has_double_slash,is_https,num_digits_domain,suspicious_words,domain_length,label
8,0,1,0,0,0,0,0,0,0,0,5,0
21,0,1,1,0,0,0,0,0,0,0,17,0
33,24,2,1,1,0,0,0,1,0,0,10,1
34,25,2,2,1,0,0,0,1,0,0,6,1
46,28,2,1,1,0,0,0,0,0,0,9,1
38,29,2,1,1,0,0,0,1,0,0,11,1
22,7,1,0,0,0,0,0,1,0,0,4,1
985,7,1,21,0,0,0,0,1,0,0,4,1
21,6,1,1,0,0,0,0,1,0,0,3,1
40,32,2,1,1,0,0,0,0,7,0,10,1
38,30,2,1,1,0,0,0,1,6,0,9,1
19,10,1,0,0,0,0,0,1,0,0,6,1
41,32,2,0,1,0,0,0,1,0,0,3,1
39,30,2,0,1,0,0,0,1,0,0,11,1
